year,count,avg,avg,avg
2010,136575,4318.1370629370629371,2336.0444444444444444,13.6080082437803621
2011,132953,3945.6059147180192572,3633.6000000000000000,10.9385166427121119
2012,111937,3577.7454228421970357,3468.1709956709956710,10.2990706201034266
2013,117025,3245.2437608821822403,2909.8000000000000000,14.1999531664671905
2014,141250,2839.9674166020170675,2766.6438356164383562,15.5337919695396331
2015,154708,2503.9309366130558184,2395.0270833333333333,9.6146617657733755
2016,165796,2105.4357142857142857,1985.0298013245033113,11.5422101581286891
2017,255983,1740.4042988741044012,1766.0909090909090909,11.4532435273138106
2018,409246,1351.7629826897470040,1218.2093959731543624,7.7631390092505136
2019,273151,968.0259946108733555,717.3717880085653105,12.7475734704431836
2020,114443,734.8259503612943764,388.9682702149437052,18.4355653424411289
2021,203438,283.3746143675628030,55.8006271230729031,5.3380901282096923
2022,75733,52.6549976536837166,-23.2171633967350607,4.3910077138203387
