year,borough,count,avg,avg,avg
2010,BRONX,19615,4319.0212765957446809,1586.0000000000000000,21.4274930676799836
2010,BROOKLYN,43457,4326.7803468208092486,1894.3750000000000000,12.9943628130487016
2010,MANHATTAN,18759,4325.4496644295302013,1788.1250000000000000,21.1743686190220312
2010,QUEENS,42124,4305.6457399103139013,3465.8571428571428571,9.9561346984558841
2010,STATEN ISLAND,11602,4313.8421052631578947,3261.0000000000000000,4.4699128032461366
2010,Unspecified,485,4333.9000000000000000,,10.7052631578947368
2010,,533,,,1.8198874296435272
2011,BRONX,18459,3933.3375634517766497,3682.6666666666666667,16.0002767783005812
2011,BROOKLYN,43904,3927.2610837438423645,3593.4181818181818182,10.1422134351004644
2011,MANHATTAN,15283,4013.3092783505154639,2793.0000000000000000,15.4934720657432567
2011,QUEENS,42416,3945.9174528301886792,3746.8448275862068966,9.5935654410363879
2011,STATEN ISLAND,12110,3912.0606060606060606,3839.4285714285714286,5.5229775606524799
2011,Unspecified,461,3986.3333333333333333,,9.1986899563318777
2011,,320,,,2.0156250000000000
2012,BRONX,14900,3570.5238784370477569,3410.6754385964912281,11.1951579984516856
2012,BROOKLYN,39611,3578.6145552560646900,3498.0934065934065934,12.9232807635905220
2012,MANHATTAN,13225,3609.1025641025641026,3387.3611111111111111,12.1836406764098248
2012,QUEENS,33893,3574.3001631321370310,3484.9900000000000000,7.5324218750000000
2012,STATEN ISLAND,9826,3594.7608695652173913,3546.0333333333333333,5.8278200123279227
2012,Unspecified,181,,,4.0110497237569061
2012,,301,,,1.5714285714285714
2013,BRONX,14628,3254.8848758465011287,2584.8695652173913043,19.9969686288332746
2013,BROOKLYN,39562,3245.8908145580589255,2934.7555555555555556,16.2286007438758497
2013,MANHATTAN,14953,3232.2359550561797753,2968.2857142857142857,22.4578680203045685
2013,QUEENS,35277,3240.5961538461538462,3145.0000000000000000,9.0307679048521934
2013,STATEN ISLAND,11013,3242.5438596491228070,3149.0000000000000000,6.6175611537057320
2013,Unspecified,713,,,1.1570827489481066
2013,,879,,,1.6609783845278726
2014,BRONX,18951,2847.8617234468937876,2742.2857142857142857,19.9544764795144158
2014,BROOKLYN,50843,2833.5490654205607477,2764.4729729729729730,19.1806269630103827
2014,MANHATTAN,17590,2830.9823529411764706,2794.0723684210526316,17.8196721311475410
2014,QUEENS,40210,2847.8108527131782946,2794.5072463768115942,11.2162264627827625
2014,STATEN ISLAND,13129,2855.8235294117647059,2630.6666666666666667,5.9996937447362377
2014,Unspecified,202,,,1.0099009900990099
2014,,325,,,1.3046153846153846
2015,BRONX,19664,2469.2595744680851064,2380.9014084507042254,9.4313654845848989
2015,BROOKLYN,56327,2507.2854700854700855,2409.6327683615819209,11.7822941784361006
2015,MANHATTAN,18593,2498.0160349854227405,2384.0164835164835165,13.7543977215614006
2015,QUEENS,45309,2511.7738446411012783,2408.6428571428571429,7.1997426171769168
2015,STATEN ISLAND,14416,2508.7619047619047619,2376.2500000000000000,4.0588030376924685
2015,Unspecified,4,,,0.50000000000000000000
2015,,395,,,1.0379746835443038
2016,BRONX,19608,2112.6984126984126984,1945.0250000000000000,13.5850970698800144
2016,BROOKLYN,59844,2132.7076923076923077,2006.6549707602339181,11.6657415817270495
2016,MANHATTAN,18896,2109.6373626373626374,1973.3015873015873016,27.6151544298386235
2016,QUEENS,48478,2064.4363636363636364,1927.6923076923076923,6.7465107584946415
2016,STATEN ISLAND,18449,2131.5172413793103448,2051.0000000000000000,5.4863735070575461
2016,,521,,,1.2687140115163148
2017,BRONX,26533,1761.2397408207343413,1801.1896551724137931,11.0861910241657077
2017,BROOKLYN,92309,1752.5920000000000000,1774.6160714285714286,10.9236071724619345
2017,MANHATTAN,25722,1749.9113149847094801,1758.0549450549450549,34.6197676708013388
2017,QUEENS,78041,1700.7378640776699029,1712.2000000000000000,7.5977994479271470
2017,STATEN ISLAND,32704,1742.7083333333333333,1609.6666666666666667,4.5866891064871481
2017,Unspecified,2,,,1.5000000000000000
2017,,672,,,1.2306547619047619
2018,BRONX,36669,1364.4953271028037383,1251.2115384615384615,10.1247494432071269
2018,BROOKLYN,155760,1358.8375673595073133,1239.5711947626841244,9.4371847909828371
2018,MANHATTAN,39428,1356.4199134199134199,1227.3333333333333333,11.1227055634439138
2018,QUEENS,131837,1320.5274261603375527,1176.5269058295964126,5.6233908120621290
2018,STATEN ISLAND,44806,1467.7878787878787879,1285.0000000000000000,3.5468931604827895
2018,Unspecified,7,,,2.8571428571428571
2018,,739,,,1.2706359945872801
2019,BRONX,26619,989.1737323358270989,761.6808176100628931,16.9577038086244885
2019,BROOKLYN,105220,951.9456147070088089,735.0124153498871332,15.7174224483232465
2019,MANHATTAN,28717,992.2330357142857143,723.5651515151515152,22.0787042069790195
2019,QUEENS,80026,952.9158576051779935,610.2072213500784929,7.8523162837923594
2019,STATEN ISLAND,30667,1035.2063492063492063,875.4137931034482759,4.1433155430405029
2019,Unspecified,124,940.6923076923076923,794.0000000000000000,2.0180180180180180
2019,,1778,,,1.7362204724409449
2020,BRONX,15276,694.1985645933014354,424.0370370370370370,10.7943195584870104
2020,BROOKLYN,39300,773.8897795591182365,394.6738721804511278,26.9989418829193450
2020,MANHATTAN,9815,779.0539682539682540,413.4977973568281938,36.5307566684812194
2020,QUEENS,31422,651.4934210526315789,272.7897435897435897,11.1377317057417813
2020,STATEN ISLAND,13550,557.3202247191011236,283.4583333333333333,11.1444810050852528
2020,Unspecified,96,836.6666666666666667,794.0000000000000000,2.9354838709677419
2020,,4984,665.0000000000000000,,8.1065623118603251
2021,BRONX,25756,251.9961538461538462,89.2146017699115044,2.1746076233183857
2021,BROOKLYN,73275,249.5314761215629522,62.5348595213319459,6.5066585355476450
2021,MANHATTAN,20514,252.3913690476190476,44.1436363636363636,8.2227598024392702
2021,QUEENS,55784,303.0254500310366232,29.0928829915560917,4.8276078489284330
2021,STATEN ISLAND,26892,393.5389344262295082,62.6351351351351351,4.2115681432319802
2021,Unspecified,321,198.5000000000000000,,2.5268138801261830
2021,,896,,,2.1205357142857143
2022,BRONX,9855,50.4044117647058824,-21.9305856832971800,2.4179665892244717
2022,BROOKLYN,29638,59.6536075742735880,-28.1665131275909719,5.9193603266417149
2022,MANHATTAN,9005,50.1221374045801527,-19.7641723356009070,5.4266261237440508
2022,QUEENS,20160,35.2785714285714286,-5.2689938398357290,3.2513736263736264
2022,STATEN ISLAND,7016,41.8896103896103896,-2.6666666666666667,3.6416219439475253
2022,Unspecified,59,49.2500000000000000,,1.3818181818181818
